
2025/08/22 (00:41:55) | ===> btop++ v.1.4.4
2025/08/22 (00:41:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/22 (13:34:56) | ===> btop++ v.1.4.4
2025/08/22 (13:34:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/22 (13:43:30) | ===> btop++ v.1.4.4
2025/08/22 (13:43:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/22 (13:54:06) | ===> btop++ v.1.4.4
2025/08/22 (13:54:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/24 (11:23:52) | ===> btop++ v.1.4.4
2025/08/24 (11:23:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/24 (11:24:46) | ===> btop++ v.1.4.4
2025/08/24 (11:24:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/24 (20:00:55) | ===> btop++ v.1.4.4
2025/08/24 (20:00:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/25 (14:16:22) | ===> btop++ v.1.4.4
2025/08/25 (14:16:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/25 (17:43:49) | ===> btop++ v.1.4.4
2025/08/25 (17:43:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
